,Item,Category,Seller,Ratings,Ucount,Price,OrgPrice,Promo
72,Floor Length LONG Ball Gown Maxi Infinity Dress Convertible Formal Multiway Wrap Bridesmaid Dress Evening Dress Wedding Christmas Party,dresses,AtomAttire,4.7681,"(8,076)",57.99,,FREE shipping
73,"Spring Spring Resort Caftan Kaftan Marrakech - White with Gold Embroidery,  beach cover ups, resort wearwear, kaftan,caftans,beach kaftan,",dresses,MaisonMarrakech,4.8583,"(2,689)",49.99,,FREE shipping
74,Sheer Ivory Lace Bodice Wedding Dress with A-line Chiffon Skirt,dresses,LaceBridal,4.7117,"(1,212)",299.00,,
75,hooded tunic dress/extra long sleeves in BLACK,dresses,joclothing,4.9833,"(4,639)",73.00,,FREE shipping
76,Indie wedding dress Alternative bridal gown Golden bridal gowns boho golden bridal gown Champagne gown tulle removable skirt wedding gown,dresses,mimetik,4.828,"(1,690)",268.20,298.00,FREE shipping
77,Marvel comic book Superheros dress- Womens,dresses,Cyanidekissx,4.9706,(641),64.74,,
78,Navy Blue/Cappuccino- Brownish Maxi Dress 3/4 Sleeves Round Neckline Pockets Wide Sash,dresses,DesirVale,4.8848,(853),97.98,,
79,"Long Prom Dress, Prom Dress, Spaghetti Straps Prom Dress, Royal Blue Prom Dress, Chiffon Prom Dress, Backless Prom Dress",dresses,DressCulture,4.6587,"(1,181)",184.00,,FREE shipping
80,"Linen wrap dress NOELLE, Linen dress in available in 27 colors, Linen kimono sleeve dress, Linen wrap dress, Short sleeve knee length dress",dresses,LinenHandmadeStudio,4.8657,"(3,215)",110.23,,FREE shipping
81,Sleeveless Vintage Chiffon Lace Wedding Dress with Deep V neckline and Elegant Open Back,dresses,VickyMermaidBridal,4.8601,"(1,917)",298.50,398.00,
82,Eve African print dress / African wax dress / Ankara  dress / African print dress for women / African clothing / African dresses,dresses,TemmyApparels,4.7941,(68),92.50,185.00,FREE shipping
83,"Cotton Dress, Flattering A-Line T-Shirt Dress",dresses,Flytrap,4.9158,"(2,406)",39.00,,FREE shipping
